,Lat,Lon,Suelo,Vs30,Distancia_km,Dist_hipocentro,Profundidad,Mw*,PGA_pred,PGA_predlog
0,16.858,-99.894,44.276666314707946,431.98129,374.425282605707,374.7256226285621,15,7.8,96.3929,1.984045
1,18.113,-94.391,44.276666314707946,299.77307,964.1390151412824,964.2556924994542,15,7.8,64.543655,1.8098536
2,17.082872,-96.718744,44.276666314707946,424.53152,712.5938562079381,712.7517126638837,15,7.8,73.25248,1.8648224
4,17.98,-94.541,44.276666314707946,335.6441,947.3839278682684,947.5026684833707,15,7.8,64.03196,1.8063968
5,19.416,-99.011,32.63318932972712,194.12999,476.99766832617865,477.2334602567292,15,7.8,53.93328,1.7318568
8,16.836,-99.914,35.61953488041968,345.5799,373.1772786537676,373.4786222843708,15,7.8,58.435593,1.7666775
9,19.0,-99.205,27.123360080403284,808.35675,442.8956855825321,443.1496229352126,15,7.8,60.05419,1.7785434
13,19.326,-99.182,33.001421872197476,393.42136,455.7583776668444,456.0051521786941,15,7.8,54.56666,1.7369274
14,19.039943,-98.215087,28.521564148712365,364.50735,551.0625609839071,551.2666742313944,15,7.8,38.950962,1.5905182
15,17.933,-102.2,38.847097797266784,230.4633,96.04577191831612,97.21003190712985,15,7.8,287.71902,2.4589686
16,17.933,-102.2,38.847097797266784,230.4633,96.04577191831612,97.21003190712985,15,7.8,287.71902,2.4589686
19,19.45,-99.144,32.63318932972712,202.45233,464.35822537524734,464.60043206356255,15,7.8,52.971077,1.7240388
21,19.418,-99.14,32.63318932972712,213.8649,463.5547895808397,463.7974158437459,15,7.8,52.971077,1.7240388
22,19.43,-98.95,32.823017845092465,223.32445,483.91522063936935,484.147643561806,15,7.8,54.635815,1.7374774
25,19.358,-99.171,32.823017845092465,296.19205,458.0749980908146,458.32052526141547,15,7.8,57.66607,1.7609204
26,19.48,-98.991,32.823017845092465,184.53062,481.48024412929186,481.7138419090762,15,7.8,53.676773,1.7297864
27,18.358,-100.658,38.847097797266784,231.70877,270.11774356529077,270.53390802042577,15,7.8,96.346245,1.9838347
30,19.083,-102.35,38.847097797266784,449.18433,143.87102362402348,144.65086048352538,15,7.8,125.78369,2.0996244
31,17.553,-99.5,33.001421872197476,446.94415,399.10029181795335,399.38207637446067,15,7.8,60.90807,1.7846749
33,19.536,-99.261,33.001421872197476,509.01144,455.6707287027254,455.9175506563361,15,7.8,60.134003,1.7791201
36,19.33,-99.183,33.001421872197476,367.31436,455.7970485487967,456.04380213505164,15,7.8,54.761417,1.7384747
