Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath,PGA_pred,PGA_log,PGA_predlog
EO30,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3885,-99.1772,16.21,-98.01,Transicion,296.44852,16,14.09871,376.5096661,"['N00E', ' +V', ' N90W']",171.2351662,100,0.103037171,0.575181159,0.010616659,0.017327604,0.000520517,19.96674912,4.56559817,376.8494775,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\EO3020180216233939,17.8185,1.14917937751274,1.25087115403242
S260,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.393,-99.147,16.21,-98.01,Alto riesgo sismico,232.70119,16,19.00899,375.8365141,"['N00E', ' +V', ' N90W']",250.5679985,200,0.075580863,1.017142857,0.005712467,0.009090921,0.000162593,40.24876384,6.283277886,376.1769336,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\S26020180216233939,26.640627,1.27895904221634,1.42554444043815
BA49,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4097,-99.145,16.21,-98.01,"Terreno blando, material compresible",206.64183,16,30.54416,377.5113606,"['S00E', ' +V', ' N90W']",886.9448576,100,0.203453417,0.432713111,0.041393293,0.019782894,0.000228378,65.82254841,7.879929968,377.8502711,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\BA4920180216233939,30.19315,1.48492818602782,1.47990841835837
IB22,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.345,-99.1297,16.21,-98.01,Alto riesgo sismico,215.83322,16,27.47967,370.1631003,"['N00E', ' +V', ' N90W']",391.7982285,100,0.237325041,0.686149936,0.056323175,0.022599435,0.00052906,72.97318551,8.351178617,370.5087324,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\IB2220180216233939,30.19058,1.43901151302945,1.47987146175498
IM40,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.3428,-99.2032,16.21,-98.01,"Arenoso, limoso, compacto",415.6842,16,11.62263,372.7628434,"['N00E', ' +V', ' N90W']",113.7706205,200,0.035608789,0.791666667,0.001267986,0.004080453,0.000128595,40.27130577,6.165269972,373.1060672,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\IM4020180216233939,14.825086,1.06530441249908,1.17099721082901
JA43,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4053,-99.125,16.21,-98.01,"Terreno blando, material compresible",204.74854,16,29.08235,376.3117409,"['S00E', ' +V', ' N90W']",533.7852398,100,0.295450666,0.442410374,0.087291096,0.028314136,0.000373537,68.13344425,7.943462188,376.6517308,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\JA4320180216233939,30.19315,1.46362949678112,1.47990841835837
CS66,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.3728,-99.0983,16.21,-98.01,Arcilla,211.91898,16,36.44847,371.925016,"['N00E', ' +V', ' N90W']",938.5557647,200,0.15041959,0.519930676,0.022626053,0.013784632,0.000113141,82.07934312,8.906576296,372.2690124,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CS6620180216233939,31.442486,1.56167930262647,1.4975168735823
CO56,CIRES,16/02/2018 23:39,16/02/2018 23:39,7.2,Mc,A,19.4215,-99.159,16.21,-98.01,Alto riesgo sismico,236.25122,16,28.61378,379.2697925,"['N00E', ' +V', ' N90W']",671.6377825,100,0.284102766,0.545738046,0.080714382,0.027563684,0.000497576,64.34026773,7.689076299,379.6071331,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CO5620180216233939,26.640627,1.45657523371241,1.42554444043815
HJ72,CIRES,16/02/2018 23:39,16/02/2018 16:58,7.2,Mc,A,19.4251,-99.1301,16.21,-98.01,Alto riesgo sismico,232.3896,16,24.59889,378.5773618,"['N00E', ' +V', ' N90W']",448.9462433,100,0.170137847,0.534274194,0.028946887,0.017809215,0.000337605,47.27877015,6.577723443,378.9153189,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\HJ7220180216233939,26.640627,1.39091551044683,1.42554444043815
BL45,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4253,-99.1481,16.21,-98.01,"Terreno blando, material compresible",217.90755,16,38.95574,379.2615192,"['S00E', ' +V', ' N90W']",457.6350344,100,0.184008433,0.521410579,0.033859103,0.020003667,0.000327263,42.94047266,6.331158867,379.5988672,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\BL4520180216233939,30.19315,1.59057145858523,1.47990841835837
AO24,CIRES,16/02/2018 23:39,,7.2,Mc,A,19.358,-99.1539,16.21,-98.01,Transicion,251.39807,16,20.55794,372.4351373,"['N00E', ' +V', ' N90W']",265.5403545,100,0.174576934,0.979180221,0.030477106,0.017870013,0.000384289,59.46088503,7.51549369,372.7786629,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\AO2420180216233939,26.626595,1.31297959420188,1.42531562511116
SP51,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3656,-99.1189,16.21,-98.01,"Terreno blando, material compresible",203.67595,16,23.65642,371.9211903,"['S00E', ' +V', ' N90W']",519.7169261,100,0.187431497,0.555284949,0.035130566,0.018054548,0.000330321,66.0146302,7.850314498,372.2651901,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\SP5120180216233939,31.442486,1.37394902212269,1.4975168735823
CU80,CIRES,16/02/2018 23:39,16/02/2018 23:39,7.2,Mc,A,19.2938,-99.1037,16.21,-98.01,Arcilla,180,16,44.83975,363.8301059,"['N00E', ' +V', ' N90W']",967.9130853,100,0.472559864,0.501557632,0.223312825,0.048918197,0.000297939,59.47060435,7.458564989,364.1817486,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CU8020180216233939,32.85681,1.6516631825598,1.51662541652561
XP06,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4198,-99.1353,16.21,-98.01,Alto riesgo sismico,208.14847,16,34.2733,378.2117878,"['N00E', ' +V', ' N90W']",601.6232323,100,0.431182482,0.463604853,0.185918333,0.041512067,0.000345374,66.80578442,7.868829205,378.5500712,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\XP0620180216233939,28.074657,1.53495592242787,1.44831446581525
CUP5,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:40,7.2,Mw,A,19.33024,-99.181076,16.218,-98.0135,Roca,367.31436,16,6.6804,369.6168771,"['N90E', ' V', ' N00E']",104.6308495,100,0.087495376,0.613207547,0.007655441,0.011185643,8.41e-05,28.81012009,5.128799696,369.9630196,BHE,BHZ,BHN,"-","-","-","-","-","-",7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CUP51802-161,14.51443,0.824802467354563,1.16179998658852
TACY,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,B,19.404505,-99.195246,16.218,-98.0135,Suelo duro,436.99353,16,8.7143,377.9047159,"['V', ' N00E', ' N90E']",117.0807416,200,0.076235362,0.963133641,0.00581183,0.009255552,0.000168255,38.64191568,6.114901367,378.243274,BHZ,BHN,BHE,"-","-","-","-","-","-",7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\TACY1802-161,15.213454,0.940232506954094,1.18222783271724
VM29,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:39,7.2,Mc,A,19.3811,-99.1253,16.21,-98.01,"Terreno blando, material compresible",192.19301,16,36.27208,373.7831835,"['N00E', ' +V', ' N90W']",819.3234076,100,0.514419832,0.476978113,0.264627764,0.048020372,0.00013853,74.24724941,8.353931811,374.1254713,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\VM2920180216233939,31.607471,1.55957246064306,1.499789754547
XO36,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.2711,-99.1024,16.21,-98.01,Alto riesgo sismico,225.87505,16,60.92281,361.4035406,"['N00E', ' +V', ' N90W']",867.040133,100,0.243803121,0.434227331,0.059439962,0.023306753,0.000117013,69.00122014,8.067769164,361.757542,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\XO3620180216233939,32.563946,1.78477992649837,1.51273702282737
AR14,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4808,-99.076,16.21,-98.01,Arcilla,180,16,29.7554,382.5249074,"['N00E', ' +V', ' N90W']",456.043216,100,0.158514842,0.51853842,0.025126955,0.017745676,0.000433823,39.06322699,6.012557215,382.8593799,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\AR1420180216233939,31.607471,1.47356579283389,1.499789754547
CTCL,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:40,7.2,Mw,A,19.434521,-99.133503,16.218,-98.0135,Monumento arqueologico,226.8056,16,16.3342,378.7230305,"['N00E', ' N90E', ' V']",278.0823883,100,0.159959693,0.539735099,0.025587104,0.015910737,7.74e-05,61.14749005,7.536608462,379.0608576,BHN,BHE,BHZ,"-","-","-","-","-","-",7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CTCL1802-161,27.474934,1.2130978688945,1.43893665189993
CT64,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4876,-99.1137,16.21,-98.01,"Arenoso, limoso, compacto",370.24307,16,3.35147,384.561112,"['N00E', ' +V', ' N90W']",40.77719411,100,0.028898875,0.647198106,0.000835145,0.003246749,0.000254015,43.85598484,6.348214923,384.893815,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CT6420180216233939,14.545483,0.525235336248686,1.16272813620226
