Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath,PGA_pred,PGA_log,PGA_predlog
PZPU,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,39:42.3,7.2,Mw,A,19.055379,-98.227092,16.218,-98.0135,Roca,354.87314,16.0,17.9032,316.3948235,"['V', ' N00E', ' N90E']",204.190878,200.0,0.125345587,1.186956522,0.015711516,0.014800703,0.000134158,43.07536733,6.466012159,316.799123,BHZ,BHN,BHE,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PZPU1802-161,12.407115788081946,1.2529306632778883,1.0936708352536475
LI58,CIRES,16/02/2018 23:39,16/02/2018 23:39,7.2,Mc,A,19.4263,-99.1569,16.21,-98.01,Alto riesgo sismico,236.25122,16.0,23.51986,379.6938818,"['N00E', ' +V', ' N90W']",468.0298827,100.0,0.230951177,0.551020408,0.053338446,0.022567341,0.000221307,62.8418649,7.620249839,380.0308459,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\LI5820180216233939,25.905506570967663,1.3714347323102054,1.413392089146781
AE02,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.429,-99.0584,16.21,-98.01,Arcilla,180.0,16.0,29.90206,376.4421009,"['N00E', ' +V', ' N90W']",544.8525927,100.0,0.197683022,0.449522853,0.039078577,0.020426633,0.000464195,49.99605955,6.825913831,376.7819732,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\AE0220180216233939,29.402944521724162,1.4757011085858078,1.4683908244768888
CA59,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4258,-99.1183,16.21,-98.01,"Terreno blando, material compresible",204.38908,16.0,26.52653,378.2213074,"['S00E', ' +V', ' N90W']",643.8912105,100.0,0.15064049,0.456649832,0.022692557,0.014995609,0.00025925,61.29757562,7.530741589,378.5595823,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CA5920180216233939,29.201611579029446,1.4236804425788163,1.465406819960961
RFPP,"BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA, FACULTAD",16/02/2018 23:39,16/02/2018 23:40,7.2,Mw,B,19.043493,-98.191493,16.218,-98.0135,Estructura,285.66913,16.0,15.7925,314.8032675,"['V', ' N90E', ' N00E']",187.5279022,100.0,0.275015907,1.3950539,0.075633749,0.041741336,0.00177537,21.98306312,4.662851322,315.2096084,BHZ,BHE,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\RFPP1802-161,18.5749296681931,1.1984508855664056,1.2689271780302729
COYC,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,16.997788,-100.089963,16.218,-98.0135,Roca,196.53853,16.0,7.6826,246.6364599,"['N90E', ' V', ' N00E']",53.87074111,100.0,0.068131244,0.710691824,0.004641866,0.010197706,0.000297813,13.38863579,3.402728245,247.1548975,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\COYC1802-161,21.500510568880287,0.88550822192751,1.332448773153491
TL08,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.45,-99.1336,16.21,-98.01,Arcilla,216.18156,16.0,25.82362,381.3204107,"['N00E', ' +V', ' N90W']",451.2720754,100.0,0.231456949,0.56825015,0.053572319,0.022187102,0.00039423,66.31316781,7.852388934,381.6559388,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\TL0820180216233939,28.905502968431705,1.4120171223543463,1.4609805306913801
PD42,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4055,-99.0997,16.21,-98.01,Arcilla,180.0,16.0,25.75144,375.4153195,"['N00E', ' +V', ' N90W']",966.9954147,100.0,0.341525411,0.351449275,0.116639607,0.03268332,0.000464877,68.61049991,8.011315458,375.7561205,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PD4220180216233939,29.362002035769386,1.4108015194575254,1.4677856644403617
LMPP,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,19.00147,-98.18227,16.218,-98.0135,Roca,364.29205,16.0,4.4766,310.0761489,"['N90E', ' V', ' N00E']",38.56955171,200.0,0.024758761,0.931034483,0.000612996,0.003002289,2.18e-05,36.12448299,5.868690582,310.4886763,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\LMPP1802-161,10.331938776808515,0.6509482903732421,1.0141818240428007
PE10,CIRES,16/02/2018 23:39,16/02/2018 23:39,7.2,Mc,A,19.3809,-99.1318,16.21,-98.01,Arcilla,187.58604,16.0,26.64595,374.0026426,"['N00E', ' +V', ' N90W']",533.7463874,100.0,0.274046578,0.548112058,0.075101527,0.027295774,0.000506664,56.83140765,7.164208267,374.3447297,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PE1020180216233939,29.824802390601317,1.4256312086228278,1.4745775748585328
