,Lat,Lon,Suelo,Vs30,Distancia_km,Dist_hipocentro,Profundidad,Mw*,PGA_pred,PGA_predlog
0,19.330278,-99.181023,38.847097797266784,367.31436,381.3329394528459,381.58984618533526,14,6.8,22.069733,1.3437971
1,19.501514,-98.806198,33.001421872197476,506.39758,388.3219786843759,388.57426462562967,14,6.8,17.284588,1.237659
2,17.969493,-97.865638,33.001421872197476,494.87073,209.93749026131144,210.4037780488227,14,6.8,28.70094,1.4578961
3,17.98762,-101.810623,33.001421872197476,368.97467,467.8369962830178,468.04642407683923,14,6.8,9.260749,0.96664613
5,18.569078,-98.445409,33.001421872197476,253.38008,278.9483740732981,279.299472606263,14,6.8,27.312824,1.4363666
6,20.043186,-100.716777,33.001421872197476,365.82617,529.839224947872,530.0241544433251,14,6.8,8.552124,0.932074
7,17.065039,-96.703157,33.001421872197476,348.6579,185.2732870180493,185.8014824549914,14,6.8,29.859093,1.4750766
11,19.421758,-102.074059,33.001421872197476,514.78662,580.4203027487481,580.5891213611812,14,6.8,9.700474,0.9867929
14,19.529875,-96.901973,33.001421872197476,470.97733,403.3071164300576,403.5500342747204,14,6.8,15.500482,1.1903452
15,19.33,-99.183,33.001421872197476,367.31436,381.37598371349617,381.6328614695502,14,6.8,16.136227,1.2078019
20,19.00147,-98.18227,33.001421872197476,364.29205,323.93876533456273,324.24115051375094,14,6.8,17.385561,1.2401887
21,19.33024,-99.181076,33.001421872197476,367.31436,381.3308834065543,381.5877915232916,14,6.8,16.136227,1.2078019
22,16.70858,-92.625515,33.001421872197476,474.86072,607.6241865065651,607.7854490095704,14,6.8,5.098074,0.7074061
25,18.535047,-101.323693,33.001421872197476,239.8848,453.8295230269962,454.0454117937003,14,6.8,22.757864,1.3571315
27,19.054336,-104.297848,33.001421872197476,262.17523,768.4085226844859,768.5360484285393,14,6.8,8.067863,0.90675855
33,20.626163,-105.219166,33.001421872197476,625.00989,942.8187410458667,942.9226789442032,14,6.8,2.3115578,0.36390474
38,16.26116,-96.57529,33.001421872197476,466.70978,165.62058179178655,166.21124243880092,14,6.8,50.23144,1.7009757
40,18.567007,-101.977162,33.001421872197476,365.34225,515.7570857468482,515.947062689654,14,6.8,8.552124,0.932074
49,19.330241,-98.256828,33.001421872197476,590.98724,360.88564277824514,361.15709485411907,14,6.8,20.49028,1.3115479
53,16.031121,-95.670297,33.001421872197476,533.6394,265.2504534146355,265.61965860355616,14,6.8,24.964231,1.3973182
55,21.523494,-104.909994,33.001421872197476,537.31055,972.5770454731572,972.6778034792898,14,6.8,9.937826,0.9972914
57,19.373,-99.098,32.823017845092465,211.91898,382.926863480289,383.1827015600416,14,6.8,30.65586,1.4865135
60,19.109501,-98.226919,33.001421872197476,412.96628,336.18594613955185,336.4773252118865,14,6.8,17.650093,1.246747
73,20.62461,-103.235717,33.001421872197476,493.66428,765.4981127683745,765.6261232820775,14,6.8,3.5442567,0.54952514
77,16.565153,-94.616947,33.001421872197476,324.77359,385.91255170500887,386.16641174948285,14,6.8,17.192636,1.2353425
80,16.445191,-95.444705,33.001421872197476,384.52698,292.91139655775294,293.24577786118795,14,6.8,17.650093,1.246747
