,Lat,Lon,Suelo,Vs30,Distancia_km,Dist_hipocentro,Profundidad,Mw*,PGA_pred,PGA_predlog
0,19.330278,-99.181023,38.847097797266784,367.31436,174.88973675588682,181.8967290045189,50,8.1,94.487045,1.9753723
1,19.501514,-98.806198,33.001421872197476,506.39758,164.66847330975276,172.0921442197893,50,8.1,88.053825,1.9447483
2,17.969493,-97.865638,33.001421872197476,494.87073,35.67594407257779,61.422902776323575,50,8.1,298.899,2.4755244
3,17.98762,-101.810623,33.001421872197476,368.97467,416.6018123217224,419.5915514279853,50,8.1,32.040592,1.5057006
5,18.569078,-98.445409,33.001421872197476,253.38008,57.22447557746538,75.99105608633118,50,8.1,382.54453,2.582682
6,20.043186,-100.716777,33.001421872197476,365.82617,357.5352564576972,361.0144867041644,50,8.1,38.1026,1.5809547
7,17.065039,-96.703157,33.001421872197476,348.6579,198.778019176022,204.97000001840019,50,8.1,50.603886,1.7041838
11,19.421758,-102.074059,33.001421872197476,514.78662,464.8737072665498,467.55487774992343,50,8.1,20.631767,1.3145365
14,19.529875,-96.901973,33.001421872197476,470.97733,195.55427868645063,201.84517807611357,50,8.1,59.156075,1.7719994
15,19.33,-99.183,33.001421872197476,367.31436,175.02307414322064,182.02493368366686,50,8.1,53.397434,1.7275203
20,19.00147,-98.18227,33.001421872197476,364.29205,88.21228346374357,101.39727291149327,50,8.1,134.70999,2.1293998
21,19.33024,-99.181076,33.001421872197476,367.31436,174.89090261321357,181.89784995118703,50,8.1,53.397434,1.7275203
22,16.70858,-92.625515,33.001421872197476,474.86072,628.2820518629143,630.2684639842562,50,8.1,15.320752,1.1852801
25,18.535047,-101.323693,33.001421872197476,239.8848,363.4186803020636,366.84211480212235,50,8.1,47.033493,1.6724073
27,19.054336,-104.297848,33.001421872197476,262.17523,698.64085488777,700.4277579581739,50,8.1,20.598013,1.3138254
33,20.626163,-105.219166,33.001421872197476,625.00989,838.8046037755175,840.2934983177026,50,8.1,10.034217,1.0014834
38,16.26116,-96.57529,33.001421872197476,466.70978,273.6964979990108,278.22611850241975,50,8.1,47.97317,1.6809984
40,18.567007,-101.977162,33.001421872197476,365.34225,436.0954919065862,438.9524781354439,50,8.1,32.040592,1.5057006
49,19.330241,-98.256828,33.001421872197476,590.98724,125.60917912321419,135.1949180997855,50,8.1,138.20126,2.140512
53,16.031121,-95.670297,33.001421872197476,533.6394,360.9482380847073,364.39488275283804,50,8.1,43.47518,1.6382414
55,21.523494,-104.909994,33.001421872197476,537.31055,844.7255059035341,846.2039826921058,50,8.1,17.660473,1.2470024
57,19.373,-99.098,32.823017845092465,211.91898,172.0246240872071,179.1437168653841,50,8.1,83.133446,1.9197757
60,19.109501,-98.226919,33.001421872197476,412.96628,100.85415166771327,112.56802347298326,50,8.1,116.7711,2.0673354
73,20.62461,-103.235717,33.001421872197476,493.66428,633.6716187840174,635.6411884486066,50,8.1,14.898459,1.1731414
77,16.565153,-94.616947,33.001421872197476,324.77359,425.6860401468037,428.6124178974125,50,8.1,31.402897,1.4969697
80,16.445191,-95.444705,33.001421872197476,384.52698,352.2122747139335,355.7435684016836,50,8.1,37.907845,1.578729
81,17.798341,-98.559717,33.001421872197476,853.57428,71.48401262131672,87.23510795800375,50,8.1,178.86583,2.2525275
84,19.045439,-98.208468,29.753131163318038,334.21683,93.48752705103183,106.01847817299307,50,8.1,188.96492,2.2763813
89,17.067337,-96.723804,33.001421872197476,451.50266,196.86099149581497,203.11142255598364,50,8.1,59.156075,1.7719994
92,18.095563,-99.560805,33.001421872197476,429.57571,166.19918440810534,173.55739367114097,50,8.1,78.03711,1.8923012
93,18.477554,-97.383184,33.001421872197476,464.60016,81.82475995278408,95.89208174469222,50,8.1,163.66122,2.2139459
98,19.404505,-99.195246,27.123360080403284,436.99353,181.9141242245179,188.66040547071168,50,8.1,61.367565,1.7879388
111,17.535396,-101.262608,33.001421872197476,329.83124,362.87018009945984,366.29874092796774,50,8.1,36.189762,1.5585858
112,19.699521,-103.447815,33.001421872197476,622.10376,620.2142992397904,622.2264675996227,50,8.1,15.969632,1.2032949
114,19.928698,-99.833027,33.001421872197476,529.00757,273.2336419853781,277.77081040417795,50,8.1,47.774624,1.6791973
115,18.61763,-99.454086,33.001421872197476,442.72336,160.14515215053294,167.76909655034012,50,8.1,77.67334,1.890272
116,19.044324,-96.414773,44.276666314707946,292.61612,205.91212356031946,211.89573527827375,50,8.1,92.95707,1.9682825
117,19.394694,-99.148678,32.823017845092465,232.70119,177.58875514949543,184.49326804939912,50,8.1,66.03398,1.8197675
124,16.01435,-97.43863,33.001421872197476,283.59097,254.71052897622906,259.57167328379734,50,8.1,45.002693,1.6532385
126,19.2922,-99.1708,29.237753712029193,366.55466,171.10173137444033,178.25768561083459,50,8.1,72.7084,1.8615845
127,16.284353,-97.820692,33.001421872197476,341.53195,216.58517394156098,222.28166269689504,50,8.1,47.486755,1.6765724
130,18.07287,-102.754441,33.001421872197476,600.0,521.0180117715853,523.4116626427193,50,8.1,19.375937,1.2872627
134,17.078389,-96.744158,44.276666314707946,491.28497,194.34215401615046,200.67105627777303,50,8.1,109.80565,2.0406246
138,16.61081,-98.98399,33.001421872197476,288.94928,205.34020114376983,211.34000616486188,50,8.1,48.376072,1.6846306
142,16.758703,-99.233268,33.001421872197476,320.50287,207.26989076348414,213.2154019228129,50,8.1,53.58828,1.7290698
146,19.055379,-98.227092,33.001421872197476,354.87314,94.93480114199025,107.29686140735541,50,8.1,165.0352,2.2175765
149,19.365,-99.226,29.237753712029193,453.53766,181.15649929349058,187.9299796101528,50,8.1,61.367565,1.7879388
150,17.982551,-92.938748,24.810286417881752,227.67941,571.2704554756476,573.4543864156537,50,8.1,26.75633,1.4274266
154,16.776805,-93.089492,33.001421872197476,531.28314,576.5722745633834,578.7361987945748,50,8.1,19.923145,1.2993579
156,17.226169,-100.638345,33.001421872197476,560.17114,305.9583653983793,310.0169694665894,50,8.1,45.119724,1.6543665
159,19.434521,-99.133503,31.959340682442914,226.8056,179.7683953870633,186.59227202657542,50,8.1,61.956245,1.792085
161,17.988778,-94.54387,24.810286417881752,300.62491,393.01194778738954,396.17974595332083,50,8.1,35.023674,1.5443617
168,19.332671,-99.04135,28.63126756125964,293.79306,164.4983492781068,171.9293660641544,50,8.1,70.68403,1.8493212
175,17.082872,-96.718744,44.276666314707946,424.53152,196.1755628389977,202.44715719218567,50,8.1,112.83046,2.0524263
180,15.666837,-96.490506,33.001421872197476,498.83792,333.5142226324305,337.2413626738488,50,8.1,41.729076,1.6204388
181,19.436,-99.143,32.90196294199333,198.69783,180.58768054093684,187.3817236636366,50,8.1,63.24043,1.8009948
183,19.190906,-104.680633,33.001421872197476,409.68088,742.9093539068593,744.5900268753988,50,8.1,11.472386,1.0596538
