Clave,Institucion,Inst,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath
ACAM,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,21/08/2013 12:38,21/08/2013 12:39,6,Mw,A,20.043186,-100.716777,16.79,-99.56,Roca,365.82617,20,0.7484,383.9261812,"['N00W', ' N90W', ' V']",8.604905248,100,0.012790198,0.797243429,0.000163589,0.001541641,7.94E-05,35.99653064,5.813433548,384.4467618,BHN,BHE,BHZ,-,-,-,-,-,-,6,21/08/2013 12:38,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1308-211
BHPP,"BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA, FACULTAD",Benemérita Universidad Autónoma de Puebla,11/04/2012 22:55,57:00.1,6.4,Mw,A,19.109501,-98.226919,17.9,-103.06,Roca,412.96628,16,0.7492,553.9869661,"['V', ' N90W', ' N00W']",7.397129621,200,0.013664999,0.801980198,0.000186732,0.001429517,0.000100543,55.33217088,7.241249865,554.2179703,BHZ,BHE,BHN,-,-,-,-,-,-,6.4,11/04/2012 22:55,C:\Users\huevo\Downloads\Archivos_Acc\BHPP1204-111
SCCB,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,25/03/2013 23:02,25/03/2013 23:03,6.2,Mw,B,16.70858,-92.625515,14.35,-90.81,Roca,474.86072,198,0.7535,330.9612758,"['N00W', ' N90W', ' V']",6.312304604,200,0.007479528,0.858267717,5.59E-05,0.000899281,5.82E-05,30.23717167,5.274447845,385.6674294,BHN,BHE,BHZ,-,-,-,-,-,-,6.2,25/03/2013 23:02,C:\Users\huevo\Downloads\Archivos_Acc\SCCB1303-251
LMPP,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,08/05/2016 07:33,08/05/2016 07:34,6,Mw,A,19.00147,-98.18227,16.25,-97.98,Roca,364.29205,35,0.754,306.775099,"['N90E', ' V', ' N00E']",6.094301209,200,0.007795159,0.830769231,6.08E-05,0.00090437,3.07E-05,35.58512153,5.760536632,308.7652205,BHE,BHZ,BHN,-,-,-,-,-,-,6,08/05/2016 07:33,C:\Users\huevo\Downloads\Archivos_Acc\LMPP1605-081
SCCB,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,11/11/2012 22:15,11/11/2012 22:15,6.2,Mw,B,16.70858,-92.625515,14.06,-92.48,Roca,474.86072,13,0.7548,294.9528075,"['N00W', ' N90W', ' V']",9.534771785,200,0.00783402,1.094890511,6.14E-05,0.001161237,5.78E-05,21.09184264,4.603922608,295.239155,BHN,BHE,BHZ,-,-,-,-,-,-,6.2,11/11/2012 22:15,C:\Users\huevo\Downloads\Archivos_Acc\SCCB1211-111
TAMA,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,22/09/2019 01:50,22/09/2019 01:50,5,Mw,B,16.26116,-96.57529,15.8793,-94.1975,Roca,466.70978,76.4,0.7608,267.785972,"['N90E', ' V', ' N00E']",2.252654622,200,0.002605155,3.412280702,6.79E-06,0.000482718,5.52E-05,8.18871226,2.947309749,278.4713392,BHE,BHZ,BHN,-,-,-,-,-,-,5,22/09/2019 01:50,C:\Users\huevo\Downloads\Archivos_Acc\TAMA1909-221
OXLC,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,15/04/2008 03:03,15/04/2008 03:05,6.5,Mw,A,17.065039,-96.703157,13.27,-91.04,Roca,348.6579,40,0.7623,758.0335834,"['N90W', ' V', ' N00W']",9.790596582,200,0.010417238,0.929877078,0.000108519,0.00108433,3.38E-05,53.82538003,7.173795523,759.088212,BHE,BHZ,BHN,-,-,-,-,-,-,6.5,15/04/2008 03:03,C:\Users\huevo\Downloads\Archivos_Acc\OXLC0804-151
OXLC,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,10/05/2014 07:36,10/05/2014 07:37,6.1,Mw,A,17.065039,-96.703157,17.06,-100.95,Roca,348.6579,12,0.7757,472.2277255,"['N90W', ' VERT', ' N00W']",8.458227324,100,0.013792508,0.848433428,0.000190233,0.001375979,2.97E-05,61.48930232,7.56581396,472.3801697,BHE,BHN,BHN,-,-,-,-,-,-,6.1,10/05/2014 07:36,C:\Users\huevo\Downloads\Archivos_Acc\OXLC1405-101
SCCB,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,15/04/2016 14:11,15/04/2016 14:12,6.1,Mw,A,16.70858,-92.625515,13.56,-92.28,Roca,474.86072,12,0.7825,352.2078285,"['N00E', ' N90E', ' V']",5.280553585,200,0.005029819,3.204918033,2.53E-05,0.000801909,0.000104694,15.95577689,4.02728114,352.412194,BHN,BHE,BHZ,-,-,-,-,-,-,6.1,15/04/2016 14:11,C:\Users\huevo\Downloads\Archivos_Acc\SCCB1604-151
OXLC,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,14/06/2017 07:29,14/06/2017 07:30,6.9,Mw,A,17.065039,-96.703157,14.7282,-92.3167,Roca,348.6579,107.1,0.7859,552.6490909,"['N90E', ' V', ' N00E']",10.89686964,100,0.007390596,0.856410256,5.46E-05,0.001088043,0.000140858,17.37896798,4.07292011,562.9311038,BHE,BHZ,BHN,-,-,-,-,-,-,6.9,14/06/2017 07:29,C:\Users\huevo\Downloads\Archivos_Acc\OXLC1706-141
